City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-12-16 04:46:52,-23.12,-134.97,78.31,65,36,3.47
1,Punta Arenas,CL,2020-12-16 04:46:52,-53.15,-70.92,48.2,66,0,34.45
2,Arraial Do Cabo,BR,2020-12-16 04:42:55,-22.97,-42.03,75.02,94,100,6.62
3,Hithadhoo,MV,2020-12-16 04:46:52,-0.6,73.08,81.72,71,22,10.27
4,Mariental,NA,2020-12-16 04:46:53,-24.63,17.97,75.2,14,0,2.24
5,Ushuaia,AR,2020-12-16 04:46:53,-54.8,-68.3,42.8,81,40,36.91
6,Hambantota,LK,2020-12-16 04:46:53,6.12,81.12,84.2,79,20,4.7
7,Larap,PH,2020-12-16 04:46:53,14.3,122.65,83.12,73,51,12.01
8,Tiksi,RU,2020-12-16 04:46:54,71.69,128.87,-26.68,85,45,4.52
9,Atuona,PF,2020-12-16 04:46:54,-9.8,-139.03,79.0,77,9,19.42
10,Neuquen,AR,2020-12-16 04:46:54,-38.95,-68.06,64.4,48,0,2.24
11,Tasiilaq,GL,2020-12-16 04:46:54,65.61,-37.64,28.4,46,100,24.16
12,Narsaq,GL,2020-12-16 04:46:55,60.92,-46.05,39.2,35,60,34.45
13,Kapaa,US,2020-12-16 04:46:55,22.08,-159.32,78.8,78,40,11.41
14,Farah,AF,2020-12-16 04:46:55,32.5,62.5,39.76,53,0,1.12
15,Kirovskiy,RU,2020-12-16 04:46:55,45.09,133.51,2.1,84,56,8.48
16,New Norfolk,AU,2020-12-16 04:46:56,-42.78,147.06,57.99,50,100,1.99
17,Severo-Kurilsk,RU,2020-12-16 04:46:56,50.68,156.12,30.61,90,96,12.62
18,Broumov,CZ,2020-12-16 04:46:56,50.59,16.33,39.0,85,100,4.9
19,Nikolskoye,RU,2020-12-16 04:46:56,59.7,30.79,30.99,100,90,6.71
20,Flin Flon,CA,2020-12-16 04:45:02,54.77,-101.86,1.49,93,100,6.11
21,Airai,TL,2020-12-16 04:46:57,-8.93,125.41,68.18,100,61,2.98
22,Bundaberg,AU,2020-12-16 04:42:11,-24.85,152.35,89.6,55,40,11.41
23,Ginda,IN,2020-12-16 04:46:57,30.69,78.49,53.98,30,0,4.47
24,Puerto Ayora,EC,2020-12-16 04:46:57,-0.74,-90.35,71.01,94,91,4.0
25,Turukhansk,RU,2020-12-16 04:46:58,65.82,87.98,-15.79,88,100,14.65
26,Comodoro Rivadavia,AR,2020-12-16 04:44:40,-45.87,-67.5,60.8,38,0,13.87
27,Chuy,UY,2020-12-16 04:46:58,-33.7,-53.46,63.23,83,60,9.95
28,Victoria,HK,2020-12-16 04:42:43,22.29,114.16,61.0,72,35,3.0
29,Cherskiy,RU,2020-12-16 04:46:58,68.75,161.3,-20.02,87,100,8.41
30,Hualmay,PE,2020-12-16 04:46:59,-11.1,-77.61,67.28,83,99,6.06
31,Hobart,AU,2020-12-16 04:46:59,-42.88,147.33,59.0,47,75,10.29
32,Souillac,MU,2020-12-16 04:46:59,-20.52,57.52,80.6,83,40,16.11
33,Puerto Escondido,MX,2020-12-16 04:47:00,15.85,-97.07,73.4,83,5,6.93
34,Bluff,NZ,2020-12-16 04:47:00,-46.6,168.33,59.0,92,100,15.99
35,Lagoa,PT,2020-12-16 04:47:00,39.05,-27.98,61.45,79,100,16.15
36,Torbay,CA,2020-12-16 04:47:00,47.67,-52.73,30.2,58,90,42.5
37,Kita,ML,2020-12-16 04:47:00,13.03,-9.49,71.64,30,67,2.28
38,Sitka,US,2020-12-16 04:47:01,57.05,-135.33,44.6,81,90,13.87
39,Barrow,US,2020-12-16 04:46:33,71.29,-156.79,-7.6,69,1,20.8
40,Chokurdakh,RU,2020-12-16 04:47:01,70.63,147.92,-20.6,88,100,3.42
41,Namatanai,PG,2020-12-16 04:47:01,-3.67,152.43,85.23,71,63,5.75
42,Bredasdorp,ZA,2020-12-16 04:47:02,-34.53,20.04,50.0,87,0,1.12
43,Balakirevo,RU,2020-12-16 04:47:02,56.51,38.84,15.87,97,93,3.83
44,Mar Del Plata,AR,2020-12-16 04:46:12,-38.0,-57.56,55.0,70,0,6.93
45,Masakin,TN,2020-12-16 04:47:02,35.73,10.58,50.0,100,98,3.91
46,New Castle,US,2020-12-16 04:47:01,41.0,-80.35,28.99,68,1,5.82
47,Busselton,AU,2020-12-16 04:47:03,-33.65,115.33,77.0,46,0,3.0
48,Kavieng,PG,2020-12-16 04:47:03,-2.57,150.8,85.23,69,82,5.79
49,Jamestown,US,2020-12-16 04:47:03,42.1,-79.24,23.0,92,1,5.82
50,Yulara,AU,2020-12-16 04:45:10,-25.24,130.99,98.6,19,26,8.05
51,Butaritari,KI,2020-12-16 04:47:04,3.07,172.79,82.54,80,74,19.04
52,Ust-Kuyga,RU,2020-12-16 04:47:04,70.02,135.6,-28.32,81,99,1.54
53,Khatanga,RU,2020-12-16 04:47:04,71.97,102.5,-34.35,82,21,5.88
54,Te Anau,NZ,2020-12-16 04:47:05,-45.42,167.72,57.6,82,100,4.16
55,Camacha,PT,2020-12-16 04:47:05,33.08,-16.33,64.4,72,75,19.46
56,Reo,BF,2020-12-16 04:47:05,12.32,-2.47,73.47,22,27,8.84
57,Bethel,US,2020-12-16 04:47:05,41.37,-73.41,24.8,41,1,6.93
58,Mataura,NZ,2020-12-16 04:47:06,-46.19,168.86,59.0,92,100,15.99
59,Omboue,GA,2020-12-16 04:47:06,-1.57,9.26,77.2,88,100,7.0
60,Kazerun,IR,2020-12-16 04:47:06,29.62,51.65,57.45,44,0,5.77
61,Fortuna,US,2020-12-16 04:47:07,40.6,-124.16,52.0,92,78,5.75
62,Tarnogskiy Gorodok,RU,2020-12-16 04:47:07,60.5,43.58,15.66,97,90,3.83
63,Saint George,US,2020-12-16 04:43:57,37.1,-113.58,37.0,43,1,4.7
64,Port Elizabeth,ZA,2020-12-16 04:42:26,-33.92,25.57,64.4,82,0,10.29
65,Abu Samrah,SY,2020-12-16 04:47:07,35.3,37.18,54.23,74,95,12.68
66,College,US,2020-12-16 04:43:59,64.86,-147.8,12.2,71,90,5.82
67,Floro,NO,2020-12-16 04:47:08,61.6,5.03,44.6,87,81,12.75
68,Cidreira,BR,2020-12-16 04:47:08,-30.18,-50.21,71.73,92,22,12.24
69,Kupang,ID,2020-12-16 04:47:08,-10.17,123.58,80.6,88,75,18.34
70,Galle,LK,2020-12-16 04:45:39,6.04,80.22,83.64,68,29,6.98
71,Saint Anthony,US,2020-12-16 04:47:09,45.02,-93.22,23.0,53,90,8.05
72,Honningsvag,NO,2020-12-16 04:47:09,70.98,25.97,30.2,63,90,18.34
73,Bardiyah,LY,2020-12-16 04:47:09,31.76,25.09,60.51,79,41,14.97
74,Abha,SA,2020-12-16 04:47:10,18.22,42.51,50.0,75,0,1.57
75,Manakara,MG,2020-12-16 04:47:10,-22.13,48.02,79.99,58,52,1.43
76,Vardo,NO,2020-12-16 04:47:10,70.37,31.11,30.2,92,90,23.04
77,Thompson,CA,2020-12-16 04:47:11,55.74,-97.86,-14.8,75,90,3.36
78,Komsomolskiy,UZ,2020-12-16 04:47:11,40.43,71.72,30.2,92,75,2.98
79,Russell,US,2020-12-16 04:45:28,32.35,-85.2,46.4,75,90,4.7
80,Ugoofaaru,MV,2020-12-16 04:47:12,5.67,73.0,82.04,68,51,11.68
81,Guarapari,BR,2020-12-16 04:47:12,-20.67,-40.5,75.2,83,0,6.93
82,Tadine,NC,2020-12-16 04:47:12,-21.55,167.88,78.13,72,30,21.59
83,Necochea,AR,2020-12-16 04:47:13,-38.55,-58.74,55.0,54,0,17.47
84,Saint-Philippe,RE,2020-12-16 04:47:13,-21.36,55.77,82.4,74,55,4.7
85,Shingu,JP,2020-12-16 04:47:14,33.73,135.98,46.4,42,75,19.46
86,Makakilo City,US,2020-12-16 04:47:14,21.35,-158.09,78.8,61,1,3.36
87,Daryapur,IN,2020-12-16 04:47:14,20.93,77.33,78.84,49,29,5.82
88,Udachnyy,RU,2020-12-16 04:47:15,66.42,112.4,-23.8,74,90,6.71
89,High Rock,BS,2020-12-16 04:47:15,26.62,-78.28,69.8,94,0,3.36
90,Qaanaaq,GL,2020-12-16 04:47:15,77.48,-69.36,3.0,71,0,8.3
91,Kieta,PG,2020-12-16 04:47:15,-6.22,155.63,83.68,76,100,5.84
92,Kahului,US,2020-12-16 04:47:16,20.89,-156.47,78.8,61,40,17.22
93,Sabha,LY,2020-12-16 04:47:16,27.04,14.43,48.96,51,98,6.76
94,Port Hedland,AU,2020-12-16 04:47:16,-20.32,118.57,89.6,59,41,14.99
95,Avarua,CK,2020-12-16 04:47:17,-21.21,-159.78,82.4,78,89,11.41
96,Constitucion,CL,2020-12-16 04:47:17,-35.33,-72.42,56.57,58,0,7.4
97,Ayr,GB,2020-12-16 04:47:17,55.46,-4.63,45.0,87,20,16.11
98,Los Angeles,US,2020-12-16 04:44:07,34.05,-118.24,60.8,41,1,3.42
99,Moberly,US,2020-12-16 04:47:18,39.42,-92.44,28.0,89,100,3.0
100,Henties Bay,NA,2020-12-16 04:47:18,-22.12,14.28,61.0,90,97,1.14
101,Karratha,AU,2020-12-16 04:47:18,-20.74,116.85,89.69,51,19,10.51
102,Boden,SE,2020-12-16 04:47:18,65.83,21.69,30.2,92,100,10.29
103,Bodh Gaya,IN,2020-12-16 04:47:19,24.7,84.98,68.0,72,75,3.38
104,Goderich,CA,2020-12-16 04:47:19,43.75,-81.72,19.4,67,100,9.17
105,Nichinan,JP,2020-12-16 04:47:19,31.6,131.37,51.8,32,40,14.99
106,Ushumun,RU,2020-12-16 04:47:19,52.78,126.53,-6.99,84,0,9.8
107,Hofn,IS,2020-12-16 04:47:20,64.25,-15.21,38.79,92,100,19.98
108,Sao Joao Do Paraiso,BR,2020-12-16 04:47:20,-15.31,-42.01,60.91,95,5,2.91
109,Surovikino,RU,2020-12-16 04:47:20,48.61,42.85,28.22,98,100,9.24
110,Katobu,ID,2020-12-16 04:47:20,-4.94,122.53,86.27,68,91,6.22
111,Leningradskiy,RU,2020-12-16 04:47:21,69.38,178.42,14.16,94,100,20.94
112,Rio Bonito,BR,2020-12-16 04:47:21,-22.71,-42.61,78.8,78,40,5.82
113,Hermanus,ZA,2020-12-16 04:47:21,-34.42,19.23,61.0,83,0,3.0
114,Valparaiso,CL,2020-12-16 04:47:22,-33.04,-71.63,51.8,93,0,6.93
115,Hutchinson,US,2020-12-16 04:47:22,38.06,-97.93,26.6,86,90,3.36
116,Albany,US,2020-12-16 04:47:22,42.6,-73.97,21.99,38,100,1.01
117,Nalut,LY,2020-12-16 04:47:22,30.33,10.85,51.15,44,100,8.19
118,Ancud,CL,2020-12-16 04:44:31,-41.87,-73.82,46.0,81,0,6.93
119,Naranjal,EC,2020-12-16 04:47:23,-2.67,-79.62,77.0,73,75,11.41
120,Richards Bay,ZA,2020-12-16 04:47:23,-28.78,32.04,74.41,74,58,13.09
121,Korla,CN,2020-12-16 04:47:23,41.76,86.15,26.11,81,72,1.28
122,Ostrovnoy,RU,2020-12-16 04:47:24,68.05,39.51,19.76,96,100,16.08
123,Plant City,US,2020-12-16 04:47:24,28.02,-82.11,57.99,100,1,4.29
